Written by wannier_tb.py of Jae-Mo Lihm, 2019-10-04 17:46:12.322120
              3
              5
    1    1    1    1    1
    0    0    0    1    1    3.000000    0.000000
    0    0    0    2    1   -1.000000    0.000000
    0    0    0    3    1    0.000000    0.000000
    0    0    0    1    2   -1.000000    0.000000
    0    0    0    2    2    1.000000    0.000000
    0    0    0    3    2   -1.000000    0.000000
    0    0    0    1    3    0.000000    0.000000
    0    0    0    2    3   -1.000000    0.000000
    0    0    0    3    3   -1.000000    0.000000
    1    0    0    1    1   -0.500000    0.000000
    1    0    0    2    1    0.000000    0.000000
    1    0    0    3    1    0.000000    0.000000
    1    0    0    1    2    0.000000    0.000000
    1    0    0    2    2   -1.000000    0.000000
    1    0    0    3    2    0.000000    0.000000
    1    0    0    1    3    0.000000    0.000000
    1    0    0    2    3    0.000000    0.000000
    1    0    0    3    3   -0.500000    0.000000
   -1    0    0    1    1   -0.500000    0.000000
   -1    0    0    2    1    0.000000    0.000000
   -1    0    0    3    1    0.000000    0.000000
   -1    0    0    1    2    0.000000    0.000000
   -1    0    0    2    2   -1.000000    0.000000
   -1    0    0    3    2    0.000000    0.000000
   -1    0    0    1    3    0.000000    0.000000
   -1    0    0    2    3    0.000000    0.000000
   -1    0    0    3    3   -0.500000    0.000000
    0    1    0    1    1   -0.500000    0.000000
    0    1    0    2    1    0.000000    0.000000
    0    1    0    3    1    0.000000    0.000000
    0    1    0    1    2    0.000000    0.000000
    0    1    0    2    2   -1.000000    0.000000
    0    1    0    3    2    0.000000    0.000000
    0    1    0    1    3    0.000000    0.000000
    0    1    0    2    3    0.000000    0.000000
    0    1    0    3    3   -0.500000    0.000000
    0   -1    0    1    1   -0.500000    0.000000
    0   -1    0    2    1    0.000000    0.000000
    0   -1    0    3    1    0.000000    0.000000
    0   -1    0    1    2    0.000000    0.000000
    0   -1    0    2    2   -1.000000    0.000000
    0   -1    0    3    2    0.000000    0.000000
    0   -1    0    1    3    0.000000    0.000000
    0   -1    0    2    3    0.000000    0.000000
    0   -1    0    3    3   -0.500000    0.000000
